,GL70,GL72,GL74,GL76,GL78,GL80,GL82,GL84,GL86,Med3,Med5,Med7,Med9,Med11,Med13,Med15,Med17,Med19
11156926_20200427_Feet_R_S_3,0.8287270395830657,0.841940500527755,0.857169716956141,0.8495100919043762,0.8516806885517296,0.8482945518359238,0.8583341607747412,0.8437125330455617,0.8635805399066453,0.8639349360651488,0.8735773316921421,0.8852962217292935,0.8866345977897685,0.8754452198571221,0.8574347512834727,0.8124877990841564,0.7177305664408985,0.6439428916121496
12405045_2020023_Feet_L_S_0,0.8615683589631704,0.8796678024508984,0.884780138903524,0.897221015431727,0.895737526288804,0.8904384359895726,0.8970299397749156,0.9083872122546418,0.8957285606834556,0.7472289404630198,0.7641419680930467,0.8209943447353011,0.812706443901807,0.7254188080687907,0.6532685109733068,0.6031687785892451,0.5153272341476138,0.40962715038872505
12405045_2020023_Feet_L_S_1,0.9229016150060038,0.9171864309606516,0.9104857506087191,0.9100405338726629,0.9136698471657453,0.9191072839022364,0.933714393477172,0.9248657046836538,0.9260536460712859,0.8583808056811865,0.8284543104616098,0.8967909383745355,0.8410081390501938,0.8070580991312756,0.7664261500569046,0.6977029018656455,0.6146345434795903,0.5315346042115561
12405045_2020023_Feet_L_S_2,0.9040824661405584,0.9048543180482869,0.9074076276265717,0.91073899902402,0.9071958521129699,0.911262992260729,0.9082261903586416,0.8995841115773909,0.898567496500841,0.825801969532523,0.7940673091139994,0.8720683846895039,0.8146733580547747,0.7627970603449331,0.6862674275064414,0.6182544871693828,0.5293733937639723,0.43997519367716115
12405045_2020023_Feet_L_S_3,0.9018492558166347,0.9067771635897434,0.9003189816338392,0.9049469476467669,0.8949189865892476,0.9004317504042303,0.8808435283289016,0.8747993915632207,0.8625617212743777,0.8214687157772086,0.8181670251679934,0.7900615836568037,0.7348272455535032,0.7041395057753593,0.6480017406749664,0.599754690434321,0.5097481807112435,0.4422244309377811
12405045_2020023_Feet_R_S_0,0.8520669813767296,0.828879645912623,0.8507502952486341,0.8588633457789667,0.8195776665166807,0.8354386585003136,0.8096980089181286,0.8239170900334171,0.816566356076911,0.6920517579277274,0.7544573758160127,0.8060565234655446,0.8144570844460041,0.8314674053532134,0.883880659123527,0.8138310663566688,0.7128781352896206,0.6383161585989249
12405045_2020023_Feet_R_S_1,0.8693530877778083,0.8817621035559815,0.8931928168338933,0.8955629974417723,0.9001960296306035,0.9046259142295975,0.9046542464808315,0.9053052594336258,0.9070367955544425,0.6938298142620538,0.7451514767019615,0.748052830593599,0.7760346775138265,0.7986847128052834,0.8400829086052849,0.8470381677595175,0.6794529093417555,0.5503311848419146
12405045_2020023_Feet_R_S_2,0.8906522487020747,0.901185805836628,0.9132337283142878,0.9010220208133205,0.9043112726041709,0.9341304397160065,0.9543975334075973,0.9382865714629499,0.9215251488559844,0.7693591180860156,0.7910515792170093,0.8038180626051732,0.8276308889170809,0.8612205329859403,0.9057459288999888,0.8428627502184716,0.7585032710915056,0.7038783234738841
12405045_2020023_Feet_R_S_3,0.7999744500287455,0.8007843220483386,0.8024845732887981,0.8194333548388865,0.8546090351419162,0.8689746853951937,0.8557205782749323,0.8436704229465148,0.8612684681510356,0.7400447730938339,0.807189726382838,0.8552125934152359,0.8900873785702267,0.894974588827129,0.9038808168438751,0.8098972493060044,0.7408479020314565,0.6638612289561346
14923392_20200622_Feet_L_S_0,0.9055857493718994,0.8999600468203726,0.9206565058549,0.914705607998572,0.9383067013537827,0.9308798384637339,0.937408812081545,0.9448093891926908,0.9519338254957668,0.8658944512449055,0.8929959999987249,0.9438132154074458,0.9068394106219723,0.8409215043582501,0.7843328597392594,0.7524641639518466,0.69294963947551,0.6275919824584887
14923392_20200622_Feet_L_S_1,0.9241167687039974,0.9369230114701778,0.9413282125376621,0.9389012195478421,0.9195166194205407,0.9517331808210542,0.9565849267923436,0.9607448829145027,0.9434495376500593,0.9288492746014407,0.9496942687758957,0.9526476955440711,0.9390544043566761,0.9233667100661493,0.8731768632347154,0.8286557476750249,0.7855966026685749,0.7204564440679606
14923392_20200622_Feet_L_S_2,0.9117064466069531,0.9112746830949899,0.9137392580744109,0.9172061528969576,0.9279921049811318,0.9208651781950247,0.9230780659249158,0.924646578026662,0.9434706730699401,0.7935831826934368,0.8330885732231706,0.9348841497417026,0.9705301098236577,0.959315148643869,0.9423916966420154,0.881358918765845,0.8238055851383606,0.7779125348292247
14923392_20200622_Feet_L_S_3,0.9296205375094724,0.9402888338100961,0.935680148845016,0.9439000878356787,0.9354277201571348,0.9509739797851814,0.9566333161831099,0.9540328122065181,0.9493609775649748,0.8603177440206566,0.9528516942848829,0.969768862289027,0.9707583312031615,0.928803180941508,0.9177228210925292,0.8820115754659107,0.8222213511697425,0.7594962211312002
14923392_20200622_Feet_R_S_0,0.8833519268152888,0.8888280675017246,0.8950956942026405,0.9009284409142563,0.9095676827499893,0.9095676827499893,0.9209190024033784,0.929450076361439,0.9394872476368403,0.7797695840870531,0.803798247334814,0.868104979222092,0.8973151873872778,0.9133270589821801,0.8902405373728777,0.8407794276053767,0.7858537813129953,0.7118435720368611
14923392_20200622_Feet_R_S_1,0.8390279653615584,0.8331411274437269,0.836925147139554,0.8516034440597259,0.8479348450679217,0.8533047241306796,0.8545321716725578,0.8700347290553168,0.8666728942521789,0.7908671667247102,0.7791080634718185,0.8420700371420448,0.8641495199686685,0.8857477018001163,0.848909586624053,0.7325459411944195,0.6707231116843194,0.6076772077280862
14923392_20200622_Feet_R_S_2,0.9035946603389198,0.905137540837639,0.9089466041111474,0.9189529641780632,0.9282969278038886,0.9291370854462424,0.8958420343018452,0.8885954872565748,0.8231462578665195,0.7836143857497109,0.7933809138229596,0.8056830074947195,0.8276476823838236,0.8291781394170082,0.8484454728777675,0.7439786577341223,0.6091548750612819,0.5375741993931791
