,GL70,GL72,GL74,GL76,GL78,GL80,GL82,GL84,GL86,Med3,Med5,Med7,Med9,Med11,Med13,Med15,Med17,Med19
29478252_20200608_Feet_L_S_2,0.9264606583535601,0.9225373166623672,0.9222727940025007,0.9186524413266932,0.9196392222375185,0.9145584042765705,0.8979546354741571,0.905445024871332,0.8991421603504717,0.730852385644681,0.8665462551595304,0.8307785077339559,0.8323061900246201,0.8888986774015332,0.8689173595237587,0.872883098609599,0.8170830869865057,0.7689756874773672
29478252_20200608_Feet_L_S_3,0.9513431373185777,0.9526975861284093,0.9597912283384018,0.9582017976703012,0.9489109482727879,0.9475190273676389,0.9476130513649534,0.940429775834325,0.9333955616561042,0.7768717006721892,0.7435664851402493,0.9500124963438903,0.8988303612800852,0.8250345559088708,0.7829915140100352,0.720341639833248,0.6387095035965507,0.5722070010502744
29478252_20200608_Feet_R_S_0,0.8690296882125499,0.8650506724881237,0.8619426164779519,0.8691532009794701,0.8380055198178565,0.8428759360365463,0.8331038452754179,0.7730065885757773,0.7259028281505455,0.8423794615307134,0.8719458840095676,0.8620429802469888,0.9361563502180922,0.9241631460551111,0.8356902882519558,0.7884958787982141,0.7225613302653394,0.6396998409885398
29478252_20200608_Feet_R_S_1,0.9139850053170665,0.9253131654907721,0.8873781479355805,0.8824195156759242,0.7688035360126759,0.8920704742399375,0.7472979915844243,0.6422538201446166,0.5921006322712813,0.8911982994678972,0.9007173186375208,0.9012992180699358,0.8890388512758512,0.7956919559301349,0.72325077747144,0.6586071885364718,0.6152669032799933,0.541229069348937
29478252_20200608_Feet_R_S_2,0.8400409767916882,0.7919230135992775,0.7635610843629672,0.8319436267098954,0.8335092981343514,0.7534603063641416,0.5848883731073531,0.5695559597269124,0.768940380644957,0.8939413813849815,0.8837770821904493,0.8346812592074704,0.8970893196133498,0.6345494752023872,0.7674801134672136,0.6498419555321604,0.5983182934748834,0.5195536193458854
29478252_20200608_Feet_R_S_3,0.9514635663121005,0.9483920142134155,0.9511405766500177,0.9448096954909255,0.8432459923444603,0.8744220850749111,0.8356668788312935,0.7392067272820637,0.6032445232039328,0.9201904723742974,0.9458014563056204,0.8757603398479864,0.8541130797277202,0.739676280254791,0.7247021393474932,0.6079019350671783,0.595906983796833,0.531637545382953
30804199_20200406_Feet_L_S_0,0.943180571104375,0.9503908628030414,0.9645650908546839,0.98456447097848,0.9771377509782656,0.9841625528881428,0.9800383397932849,0.9628659995389571,0.9435932072253826,0.8768945620052306,0.9308616465286486,0.9372578485700737,0.8667241279676822,0.8143934133556907,0.7815362654909114,0.7433933521095073,0.6646714014308287,0.5972523763250357
30804199_20200406_Feet_L_S_1,0.9491136884563113,0.9488799305710804,0.9560205402913229,0.9588245231437328,0.9588245231437328,0.9588245231437328,0.9620477990998462,0.959005921081706,0.9585609090323566,0.8017660876276231,0.9305397444685862,0.9180213310369637,0.9144823591271101,0.8980558808269019,0.8836095349659395,0.8588007579138619,0.8358061579650385,0.72182152952822
30804199_20200406_Feet_L_S_2,0.9084134024312354,0.90810491619154,0.9125556531981068,0.9143771002411154,0.9206275698402168,0.926805169083856,0.9420310140398026,0.9420310140398026,0.9430645373919992,0.8824159181602561,0.93767058328645,0.9293199379447578,0.8837174660201398,0.8432417800787324,0.8115329799130659,0.8075725496315779,0.7493285914558779,0.66684009623027
30804199_20200406_Feet_L_S_3,0.9479768403351873,0.9611210210601479,0.9608022059754412,0.96407530677557,0.9633507519154153,0.9642712353408925,0.9706075077694926,0.9731073790787922,0.9702221500303893,0.843856988963157,0.956206665743975,0.9420697640726867,0.9407338639178952,0.8995895037459416,0.8624475959655936,0.8706777110759416,0.8052149699463103,0.7324823624027976
