Method,Noise_pct,Outlier_pct,Q,Jaccard
RHT,10,60,0,0.7181
RHT,10,60,1,0.705
RHT,10,60,2,0.7824
RHT,10,60,3,0.8367
RHT,10,60,6,0.9045
RHT,10,60,12,0.5427
RHT,10,60,24,0.492
RHT,10,60,40,0.451
RHT,10,70,0,0.4638
RHT,10,70,1,0.4567
RHT,10,70,2,0.5164
RHT,10,70,3,0.5158
RHT,10,70,6,0.4534
RHT,10,70,12,0.4046
RHT,10,70,24,0.4295
RHT,10,70,40,0.4348
RCD,0,0,0,1.0
RCD,0,0,1,0.9943
RCD,0,0,2,0.9876
RCD,0,0,3,0.9815
RCD,0,0,6,0.9651
RCD,0,0,12,0.937
RCD,0,0,24,0.8943
RCD,0,0,40,0.797
RCD,0,10,0,0.9998
RCD,0,10,1,0.9935
RCD,0,10,2,0.9866
RCD,0,10,3,0.9785
RCD,0,10,6,0.9549
RCD,0,10,12,0.9057
RCD,0,10,24,0.8062
RCD,0,10,40,0.6281
RCD,0,20,0,0.9996
RCD,0,20,1,0.9936
RCD,0,20,2,0.9871
RCD,0,20,3,0.9776
RCD,0,20,6,0.9488
RCD,0,20,12,0.8985
RCD,0,20,24,0.784
RCD,0,20,40,0.5794
RCD,0,30,0,0.9991
RCD,0,30,1,0.9924
RCD,0,30,2,0.9846
RCD,0,30,3,0.9771
RCD,0,30,6,0.949
RCD,0,30,12,0.8896
RCD,0,30,24,0.7619
RCD,0,30,40,0.5343
RCD,0,40,0,0.999
RCD,0,40,1,0.993
RCD,0,40,2,0.9844
RCD,0,40,3,0.9741
RCD,0,40,6,0.9407
RCD,0,40,12,0.8817
RCD,0,40,24,0.7389
RCD,0,40,40,0.4994
RCD,0,50,0,0.9978
RCD,0,50,1,0.9922
RCD,0,50,2,0.9835
RCD,0,50,3,0.9739
RCD,0,50,6,0.9403
RCD,0,50,12,0.8825
RCD,0,50,24,0.6933
RCD,0,50,40,0.4924
RCD,0,60,0,0.999
RCD,0,60,1,0.9922
RCD,0,60,2,0.9835
RCD,0,60,3,0.9741
RCD,0,60,6,0.9402
RCD,0,60,12,0.8785
RCD,0,60,24,0.6206
RCD,0,60,40,0.462
RCD,0,70,0,0.9988
RCD,0,70,1,0.9924
RCD,0,70,2,0.9841
RCD,0,70,3,0.9756
RCD,0,70,6,0.9383
RCD,0,70,12,0.8061
RCD,0,70,24,0.5358
RCD,0,70,40,0.4426
RCD,1,0,0,0.9947
RCD,1,0,1,0.9947
RCD,1,0,2,0.9898
RCD,1,0,3,0.9807
RCD,1,0,6,0.9611
RCD,1,0,12,0.9335
RCD,1,0,24,0.8875
RCD,1,0,40,0.8125
RCD,1,10,0,0.9943
RCD,1,10,1,0.9941
RCD,1,10,2,0.9884
RCD,1,10,3,0.9795
RCD,1,10,6,0.9573
RCD,1,10,12,0.9072
RCD,1,10,24,0.8134
RCD,1,10,40,0.6568
RCD,1,20,0,0.9945
RCD,1,20,1,0.9939
RCD,1,20,2,0.9877
RCD,1,20,3,0.9787
RCD,1,20,6,0.949
RCD,1,20,12,0.8863
RCD,1,20,24,0.7894
RCD,1,20,40,0.5703
RCD,1,30,0,0.994
RCD,1,30,1,0.9939
RCD,1,30,2,0.9874
RCD,1,30,3,0.9777
RCD,1,30,6,0.945
RCD,1,30,12,0.886
RCD,1,30,24,0.7564
RCD,1,30,40,0.5461
RCD,1,40,0,0.9942
RCD,1,40,1,0.9931
RCD,1,40,2,0.9867
RCD,1,40,3,0.9776
RCD,1,40,6,0.9472
RCD,1,40,12,0.887
RCD,1,40,24,0.73
RCD,1,40,40,0.4963
RCD,1,50,0,0.9929
RCD,1,50,1,0.9928
RCD,1,50,2,0.9862
RCD,1,50,3,0.974
RCD,1,50,6,0.9428
RCD,1,50,12,0.8787
RCD,1,50,24,0.6893
RCD,1,50,40,0.4731
RCD,1,60,0,0.9918
RCD,1,60,1,0.9918
RCD,1,60,2,0.9862
RCD,1,60,3,0.9759
RCD,1,60,6,0.941
RCD,1,60,12,0.8635
RCD,1,60,24,0.5974
RCD,1,60,40,0.4633
RCD,1,70,0,0.9912
RCD,1,70,1,0.9901
RCD,1,70,2,0.9833
RCD,1,70,3,0.9731
