Method,Noise_pct,Outlier_pct,q,J_mean,J_std,Time_s
3C-FBI,5,0,6,0.1361,0.1351,0.006367
3C-FBI,5,0,12,0.019,0.0531,0.006239
3C-FBI,5,0,24,0.0,0.0,0.006259
3C-FBI,5,0,40,0.0,0.0,0.006227
3C-FBI,5,10,0,0.9558,0.017,0.008439
3C-FBI,5,10,1,0.9503,0.0197,0.008503
3C-FBI,5,10,2,0.1999,0.0087,0.007391
3C-FBI,5,10,3,0.2162,0.0865,0.006806
3C-FBI,5,10,6,0.1594,0.177,0.006237
3C-FBI,5,10,12,0.0093,0.0319,0.006209
3C-FBI,5,10,24,0.0,0.0,0.006213
3C-FBI,5,10,40,0.0,0.0,0.006105
3C-FBI,5,20,0,0.9498,0.0236,0.008203
3C-FBI,5,20,1,0.9524,0.0244,0.008201
3C-FBI,5,20,2,0.2014,0.0091,0.007386
3C-FBI,5,20,3,0.2205,0.081,0.006785
3C-FBI,5,20,6,0.1144,0.138,0.0068
3C-FBI,5,20,12,0.0156,0.0561,0.006624
3C-FBI,5,20,24,0.0,0.0,0.006674
3C-FBI,5,20,40,0.0,0.0,0.006166
3C-FBI,5,30,0,0.9509,0.0196,0.008528
3C-FBI,5,30,1,0.9437,0.0232,0.008097
3C-FBI,5,30,2,0.1987,0.0102,0.007212
3C-FBI,5,30,3,0.242,0.0813,0.006699
3C-FBI,5,30,6,0.1058,0.1322,0.006127
3C-FBI,5,30,12,0.0062,0.0292,0.006108
3C-FBI,5,30,24,0.0,0.0,0.006088
3C-FBI,5,30,40,0.0,0.0,0.006079
3C-FBI,5,40,0,0.9356,0.0671,0.008109
3C-FBI,5,40,1,0.9451,0.027,0.008079
3C-FBI,5,40,2,0.201,0.0106,0.007056
3C-FBI,5,40,3,0.2278,0.0833,0.006656
3C-FBI,5,40,6,0.0813,0.1237,0.006191
3C-FBI,5,40,12,0.0113,0.0451,0.006187
3C-FBI,5,40,24,0.0,0.0,0.006242
3C-FBI,5,40,40,0.0,0.0,0.006129
3C-FBI,5,50,0,0.8813,0.1772,0.008646
3C-FBI,5,50,1,0.8465,0.2104,0.008448
3C-FBI,5,50,2,0.2042,0.0301,0.007026
3C-FBI,5,50,3,0.2148,0.0762,0.006785
3C-FBI,5,50,6,0.0862,0.1276,0.006072
3C-FBI,5,50,12,0.0014,0.0095,0.006194
3C-FBI,5,50,24,0.0,0.0,0.006156
3C-FBI,5,50,40,0.0,0.0,0.00613
3C-FBI,5,60,0,0.7368,0.2648,0.008829
3C-FBI,5,60,1,0.6953,0.2859,0.009025
3C-FBI,5,60,2,0.2334,0.0865,0.007607
3C-FBI,5,60,3,0.2192,0.0844,0.00731
3C-FBI,5,60,6,0.0998,0.1534,0.006519
3C-FBI,5,60,12,0.0021,0.0121,0.006517
3C-FBI,5,60,24,0.0,0.0,0.006619
3C-FBI,5,60,40,0.0,0.0,0.006468
3C-FBI,5,70,0,0.4623,0.2318,0.009533
3C-FBI,5,70,1,0.4705,0.2506,0.009214
3C-FBI,5,70,2,0.27,0.1209,0.006968
3C-FBI,5,70,3,0.2082,0.0707,0.006677
3C-FBI,5,70,6,0.0543,0.1006,0.006159
3C-FBI,5,70,12,0.0025,0.0252,0.00607
3C-FBI,5,70,24,0.0,0.0,0.007041
3C-FBI,5,70,40,0.0,0.0,0.006157
3C-FBI,10,0,0,0.8874,0.0496,0.008528
3C-FBI,10,0,1,0.8887,0.0513,0.008363
3C-FBI,10,0,2,0.1965,0.0225,0.007249
3C-FBI,10,0,3,0.2554,0.1301,0.006608
3C-FBI,10,0,6,0.177,0.1486,0.006339
3C-FBI,10,0,12,0.0125,0.0347,0.006043
3C-FBI,10,0,24,0.0,0.0,0.006237
3C-FBI,10,0,40,0.0,0.0,0.006333
3C-FBI,10,10,0,0.8952,0.0519,0.008186
3C-FBI,10,10,1,0.8836,0.0695,0.008275
3C-FBI,10,10,2,0.2031,0.0261,0.007455
3C-FBI,10,10,3,0.2646,0.104,0.006851
3C-FBI,10,10,6,0.1346,0.1153,0.006363
3C-FBI,10,10,12,0.0159,0.0562,0.006229
3C-FBI,10,10,24,0.0,0.0,0.006359
3C-FBI,10,10,40,0.0,0.0,0.006372
3C-FBI,10,20,0,0.8791,0.0759,0.008058
3C-FBI,10,20,1,0.8753,0.0924,0.00816
3C-FBI,10,20,2,0.2041,0.0284,0.007181
3C-FBI,10,20,3,0.2253,0.103,0.006855
3C-FBI,10,20,6,0.1416,0.1455,0.006284
3C-FBI,10,20,12,0.0039,0.0155,0.006205
3C-FBI,10,20,24,0.0,0.0,0.006241
3C-FBI,10,20,40,0.0,0.0,0.00634
3C-FBI,10,30,0,0.8483,0.1287,0.008239
3C-FBI,10,30,1,0.8566,0.1321,0.008422
3C-FBI,10,30,2,0.2071,0.0512,0.007225
3C-FBI,10,30,3,0.2256,0.0713,0.006876
3C-FBI,10,30,6,0.1131,0.1439,0.006325
3C-FBI,10,30,12,0.0046,0.0278,0.006249
3C-FBI,10,30,24,0.0,0.0,0.006348
3C-FBI,10,30,40,0.0,0.0,0.006407
3C-FBI,10,40,0,0.7877,0.1907,0.008356
3C-FBI,10,40,1,0.8104,0.187,0.008498
3C-FBI,10,40,2,0.224,0.0778,0.007041
3C-FBI,10,40,3,0.2223,0.0736,0.006788
3C-FBI,10,40,6,0.1102,0.1405,0.006233
3C-FBI,10,40,12,0.0019,0.0111,0.006254
3C-FBI,10,40,24,0.0,0.0,0.006253
3C-FBI,10,40,40,0.0,0.0,0.006281
3C-FBI,10,50,0,0.7205,0.2427,0.009004
3C-FBI,10,50,1,0.6586,0.2707,0.008956
3C-FBI,10,50,2,0.2373,0.1026,0.006773
3C-FBI,10,50,3,0.2162,0.0654,0.006609
3C-FBI,10,50,6,0.0713,0.1153,0.006187
3C-FBI,10,50,12,0.0014,0.0095,0.006123
3C-FBI,10,50,24,0.0,0.0,0.005996
3C-FBI,10,50,40,0.0,0.0,0.006057
3C-FBI,10,60,0,0.5263,0.243,0.008917
3C-FBI,10,60,1,0.4637,0.2462,0.008909
3C-FBI,10,60,2,0.2564,0.1218,0.006842
3C-FBI,10,60,3,0.2197,0.0993,0.006598
3C-FBI,10,60,6,0.053,0.1004,0.006094
3C-FBI,10,60,12,0.0,0.0,0.005977
3C-FBI,10,60,24,0.0,0.0,0.006027
3C-FBI,10,60,40,0.0,0.0,0.006005
3C-FBI,10,70,0,0.4046,0.2022,0.009666
3C-FBI,10,70,1,0.3678,0.1791,0.010229
3C-FBI,10,70,2,0.2752,0.1269,0.007367
3C-FBI,10,70,3,0.203,0.0748,0.006932
3C-FBI,10,70,6,0.0501,0.0963,0.00669
3C-FBI,10,70,12,0.0012,0.0083,0.006687
3C-FBI,10,70,24,0.0,0.0,0.006641
3C-FBI,10,70,40,0.0,0.0,0.006671
3C-FBI-v2,0,0,0,1.0,0.0,0.006562
3C-FBI-v2,0,0,1,0.9859,0.0008,0.623738
3C-FBI-v2,0,0,2,0.2003,0.0002,0.09488
3C-FBI-v2,0,0,3,0.1854,0.0912,0.0282
3C-FBI-v2,0,0,6,0.0696,0.1139,0.007778
3C-FBI-v2,0,0,12,0.0076,0.0228,0.006423
3C-FBI-v2,0,0,24,0.0,0.0,0.006522
3C-FBI-v2,0,0,40,0.0,0.0,0.00636
3C-FBI-v2,0,10,0,1.0,0.0,0.007001
3C-FBI-v2,0,10,1,0.986,0.0006,0.619168
3C-FBI-v2,0,10,2,0.2003,0.0002,0.104058
3C-FBI-v2,0,10,3,0.2132,0.1145,0.025716
3C-FBI-v2,0,10,6,0.0609,0.1097,0.008177
3C-FBI-v2,0,10,12,0.0061,0.0206,0.006418
3C-FBI-v2,0,10,24,0.0,0.0,0.006447
3C-FBI-v2,0,10,40,0.0,0.0,0.006224
3C-FBI-v2,0,20,0,1.0,0.0,0.00694
3C-FBI-v2,0,20,1,0.986,0.0007,0.644864
3C-FBI-v2,0,20,2,0.2003,0.0002,0.094181
3C-FBI-v2,0,20,3,0.1862,0.0888,0.024638
3C-FBI-v2,0,20,6,0.0463,0.0933,0.007656
3C-FBI-v2,0,20,12,0.0038,0.0166,0.006292
3C-FBI-v2,0,20,24,0.0,0.0,0.00616
3C-FBI-v2,0,20,40,0.0,0.0,0.006201
3C-FBI-v2,0,30,0,1.0,0.0,0.007058
3C-FBI-v2,0,30,1,0.9859,0.0007,0.632864
3C-FBI-v2,0,30,2,0.2003,0.0002,0.102108
3C-FBI-v2,0,30,3,0.1991,0.1058,0.026545
3C-FBI-v2,0,30,6,0.0642,0.1164,0.007677
3C-FBI-v2,0,30,12,0.0038,0.0166,0.00613
3C-FBI-v2,0,30,24,0.0,0.0,0.006139
3C-FBI-v2,0,30,40,0.0,0.0,0.005889
3C-FBI-v2,0,40,0,1.0,0.0,0.006481
3C-FBI-v2,0,40,1,0.9861,0.0006,0.630006
3C-FBI-v2,0,40,2,0.2003,0.0002,0.095175
3C-FBI-v2,0,40,3,0.1965,0.1008,0.025512
3C-FBI-v2,0,40,6,0.0525,0.1062,0.007356
3C-FBI-v2,0,40,12,0.003,0.0149,0.006067
3C-FBI-v2,0,40,24,0.0,0.0,0.006071
3C-FBI-v2,0,40,40,0.0,0.0,0.005857
3C-FBI-v2,0,50,0,1.0,0.0,0.006372
3C-FBI-v2,0,50,1,0.9861,0.0005,0.636039
3C-FBI-v2,0,50,2,0.2003,0.0002,0.09165
3C-FBI-v2,0,50,3,0.182,0.1141,0.025155
3C-FBI-v2,0,50,6,0.0732,0.1313,0.007486
3C-FBI-v2,0,50,12,0.0008,0.0076,0.006015
3C-FBI-v2,0,50,24,0.0,0.0,0.005946
3C-FBI-v2,0,50,40,0.0,0.0,0.005833
3C-FBI-v2,0,60,0,1.0,0.0,0.006494
3C-FBI-v2,0,60,1,0.986,0.0008,0.604213
3C-FBI-v2,0,60,2,0.2003,0.0002,0.091704
3C-FBI-v2,0,60,3,0.2007,0.0958,0.026644
3C-FBI-v2,0,60,6,0.0752,0.1376,0.00749
3C-FBI-v2,0,60,12,0.0053,0.0194,0.006037
3C-FBI-v2,0,60,24,0.0,0.0,0.006077
3C-FBI-v2,0,60,40,0.0,0.0,0.005878
3C-FBI-v2,0,70,0,1.0,0.0,0.006343
3C-FBI-v2,0,70,1,0.9859,0.0009,0.650358
3C-FBI-v2,0,70,2,0.2004,0.0002,0.093794
3C-FBI-v2,0,70,3,0.2193,0.1086,0.02617
3C-FBI-v2,0,70,6,0.053,0.1027,0.007729
3C-FBI-v2,0,70,12,0.0046,0.0181,0.006166
3C-FBI-v2,0,70,24,0.0,0.0,0.006165
3C-FBI-v2,0,70,40,0.0,0.0,0.006336
3C-FBI-v2,1,0,0,0.9922,0.0007,1.063889
3C-FBI-v2,1,0,1,0.9846,0.0044,1.054602
3C-FBI-v2,1,0,2,0.2002,0.0009,0.150937
3C-FBI-v2,1,0,3,0.1913,0.1049,0.036304
3C-FBI-v2,1,0,6,0.1038,0.1703,0.007786
3C-FBI-v2,1,0,12,0.0093,0.0387,0.006164
3C-FBI-v2,1,0,24,0.0,0.0,0.006099
3C-FBI-v2,1,0,40,0.0,0.0,0.006033
3C-FBI-v2,1,10,0,0.9923,0.0007,1.195775
3C-FBI-v2,1,10,1,0.9844,0.0045,1.23855
3C-FBI-v2,1,10,2,0.2003,0.0011,0.181838
3C-FBI-v2,1,10,3,0.2061,0.1266,0.054705
3C-FBI-v2,1,10,6,0.1315,0.1624,0.009623
3C-FBI-v2,1,10,12,0.0062,0.0193,0.006219
3C-FBI-v2,1,10,24,0.0,0.0,0.006137
3C-FBI-v2,1,10,40,0.0,0.0,0.00611
3C-FBI-v2,1,20,0,0.9921,0.0007,1.244981
3C-FBI-v2,1,20,1,0.9846,0.0045,1.225841
3C-FBI-v2,1,20,2,0.2001,0.0011,0.188027
3C-FBI-v2,1,20,3,0.1922,0.1443,0.063957
3C-FBI-v2,1,20,6,0.1249,0.1215,0.011089
3C-FBI-v2,1,20,12,0.0181,0.0519,0.006193
3C-FBI-v2,1,20,24,0.0,0.0,0.006019
3C-FBI-v2,1,20,40,0.0,0.0,0.006013
3C-FBI-v2,1,30,0,0.992,0.0008,1.248261
3C-FBI-v2,1,30,1,0.9843,0.0045,1.286123
3C-FBI-v2,1,30,2,0.2003,0.0012,0.2059
3C-FBI-v2,1,30,3,0.2025,0.1188,0.075592
3C-FBI-v2,1,30,6,0.1608,0.1455,0.011992
3C-FBI-v2,1,30,12,0.014,0.0465,0.006234
3C-FBI-v2,1,30,24,0.0,0.0,0.006059
3C-FBI-v2,1,30,40,0.0,0.0,0.006151
3C-FBI-v2,1,40,0,0.992,0.0011,1.269156
3C-FBI-v2,1,40,1,0.9834,0.0047,1.294517
3C-FBI-v2,1,40,2,0.2001,0.0013,0.213563
3C-FBI-v2,1,40,3,0.2165,0.1396,0.077373
3C-FBI-v2,1,40,6,0.1423,0.1396,0.012647
3C-FBI-v2,1,40,12,0.016,0.0474,0.006608
3C-FBI-v2,1,40,24,0.0,0.0,0.00621
3C-FBI-v2,1,40,40,0.0,0.0,0.006289
3C-FBI-v2,1,50,0,0.9917,0.0012,1.295466
3C-FBI-v2,1,50,1,0.9841,0.0055,1.281454
3C-FBI-v2,1,50,2,0.2004,0.0014,0.202623
3C-FBI-v2,1,50,3,0.2148,0.1563,0.078361
3C-FBI-v2,1,50,6,0.1465,0.1391,0.012344
3C-FBI-v2,1,50,12,0.0144,0.0404,0.006428
3C-FBI-v2,1,50,24,0.0,0.0,0.006127
3C-FBI-v2,1,50,40,0.0,0.0,0.006107
3C-FBI-v2,1,60,0,0.9905,0.0029,1.292654
3C-FBI-v2,1,60,1,0.9823,0.0049,1.283385
3C-FBI-v2,1,60,2,0.2003,0.0018,0.203855
3C-FBI-v2,1,60,3,0.2063,0.1373,0.078188
3C-FBI-v2,1,60,6,0.1418,0.1152,0.0122
3C-FBI-v2,1,60,12,0.0138,0.0401,0.006456
3C-FBI-v2,1,60,24,0.0,0.0,0.00615
3C-FBI-v2,1,60,40,0.0,0.0,0.006117
3C-FBI-v2,1,70,0,0.9859,0.0204,1.365526
3C-FBI-v2,1,70,1,0.9765,0.0267,1.31684
3C-FBI-v2,1,70,2,0.2007,0.009,0.204173
3C-FBI-v2,1,70,3,0.2222,0.1353,0.080498
3C-FBI-v2,1,70,6,0.1568,0.1357,0.012732
3C-FBI-v2,1,70,12,0.017,0.043,0.006403
3C-FBI-v2,1,70,24,0.0,0.0,0.006094
3C-FBI-v2,1,70,40,0.0,0.0,0.006168
3C-FBI-v2,2,0,0,0.9851,0.0058,1.155908
3C-FBI-v2,2,0,1,0.9798,0.0074,1.179198
3C-FBI-v2,2,0,2,0.2006,0.003,0.171903
3C-FBI-v2,2,0,3,0.1925,0.0997,0.048641
3C-FBI-v2,2,0,6,0.1321,0.1621,0.009136
3C-FBI-v2,2,0,12,0.0216,0.0617,0.006336
3C-FBI-v2,2,0,24,0.0,0.0,0.006175
3C-FBI-v2,2,0,40,0.0,0.0,0.006144
3C-FBI-v2,2,10,0,0.9853,0.0066,1.3283
3C-FBI-v2,2,10,1,0.9789,0.0087,1.301523
3C-FBI-v2,2,10,2,0.2004,0.003,0.195272
3C-FBI-v2,2,10,3,0.2092,0.1325,0.067046
3C-FBI-v2,2,10,6,0.1587,0.1654,0.010585
3C-FBI-v2,2,10,12,0.0177,0.0485,0.006288
3C-FBI-v2,2,10,24,0.0,0.0,0.006168
3C-FBI-v2,2,10,40,0.0,0.0,0.006077
3C-FBI-v2,2,20,0,0.9822,0.0066,1.310956
3C-FBI-v2,2,20,1,0.9791,0.0081,1.276069
3C-FBI-v2,2,20,2,0.2001,0.0033,0.204595
3C-FBI-v2,2,20,3,0.1983,0.1366,0.075226
3C-FBI-v2,2,20,6,0.1422,0.1349,0.010981
3C-FBI-v2,2,20,12,0.0191,0.0531,0.006169
3C-FBI-v2,2,20,24,0.0,0.0,0.006086
3C-FBI-v2,2,20,40,0.0,0.0,0.006186
3C-FBI-v2,2,30,0,0.984,0.0065,1.309007
3C-FBI-v2,2,30,1,0.9792,0.0081,1.27379
3C-FBI-v2,2,30,2,0.2,0.0034,0.205532
3C-FBI-v2,2,30,3,0.2235,0.1571,0.077735
3C-FBI-v2,2,30,6,0.1467,0.1526,0.01198
3C-FBI-v2,2,30,12,0.0187,0.0497,0.006249
3C-FBI-v2,2,30,24,0.0,0.0,0.006164
3C-FBI-v2,2,30,40,0.0,0.0,0.006227
3C-FBI-v2,2,40,0,0.983,0.0074,1.310036
3C-FBI-v2,2,40,1,0.9765,0.0085,1.29156
3C-FBI-v2,2,40,2,0.2003,0.0033,0.212288
3C-FBI-v2,2,40,3,0.2254,0.128,0.081207
3C-FBI-v2,2,40,6,0.1616,0.1497,0.012647
3C-FBI-v2,2,40,12,0.0119,0.0432,0.006719
3C-FBI-v2,2,40,24,0.0,0.0,0.006187
3C-FBI-v2,2,40,40,0.0,0.0,0.006084
3C-FBI-v2,2,50,0,0.9815,0.008,1.33074
