case_idx,filename,config,mean_J,std_J,range_J,min_J,max_J
41,23839779_20200420_Feet_L_S_1,GL80,0.8919574622949626,3.3306690738754696e-16,0.0,0.8919574622949623,0.8919574622949623
42,23839779_20200420_Feet_L_S_2,GL80,0.9844293429605335,2.220446049250313e-16,0.0,0.9844293429605333,0.9844293429605333
43,23839779_20200420_Feet_L_S_3,GL80,0.955100990015472,4.440892098500626e-16,0.0,0.9551009900154724,0.9551009900154724
44,23839779_20200420_Feet_R_S_0,GL80,0.8296132058261361,1.1102230246251565e-16,0.0,0.829613205826136,0.829613205826136
45,23839779_20200420_Feet_R_S_1,GL80,0.839227522112044,1.1102230246251565e-16,0.0,0.8392275221120441,0.8392275221120441
46,23839779_20200420_Feet_R_S_2,GL80,0.8434443952882634,0.0024976789535991846,0.0251026179874424,0.8431933691083887,0.8682959870958311
47,23839779_20200420_Feet_R_S_3,GL80,0.8677606700463404,0.0,0.0,0.8677606700463404,0.8677606700463404
48,24918068_20200413_Feet_L_S_0,GL80,0.8491707598233534,1.1102230246251565e-16,0.0,0.8491707598233535,0.8491707598233535
49,24918068_20200413_Feet_L_S_1,GL80,0.9436375133796056,1.1102230246251565e-16,0.0,0.9436375133796057,0.9436375133796057
50,24918068_20200413_Feet_L_S_2,GL80,0.949937388189115,0.0014834560427364506,0.010596114590974648,0.9395531958899593,0.950149310480934
51,24918068_20200413_Feet_L_S_3,GL80,0.9539845479041184,0.0,0.0,0.9539845479041184,0.9539845479041184
52,24918068_20200413_Feet_R_S_0,GL80,0.9143221475506919,0.0,0.0,0.9143221475506919,0.9143221475506919
53,24918068_20200413_Feet_R_S_1,GL80,0.8586161715464976,4.411574838066068e-05,0.0004433799537102434,0.8581772253923247,0.8586206053460349
54,24918068_20200413_Feet_R_S_2,GL80,0.8862763022103849,3.3306690738754696e-16,0.0,0.8862763022103846,0.8862763022103846
55,24918068_20200413_Feet_R_S_3,GL80,0.8907797678770479,1.1102230246251565e-16,0.0,0.890779767877048,0.890779767877048
56,27342472_20200310_Feet_L_S_0,GL80,0.9213225876121365,0.008202860806686842,0.01681775886047321,0.9110637547072481,0.9278815135677213
57,27342472_20200310_Feet_L_S_1,GL80,0.9268433937259499,2.220446049250313e-16,0.0,0.9268433937259501,0.9268433937259501
58,27342472_20200310_Feet_L_S_2,GL80,0.9069714676686921,2.220446049250313e-16,0.0,0.9069714676686919,0.9069714676686919
59,27342472_20200310_Feet_L_S_3,GL80,0.9449384084802991,1.1102230246251565e-16,0.0,0.9449384084802992,0.9449384084802992
60,27342472_20200310_Feet_R_S_0,GL80,0.9289941001421984,3.3306690738754696e-16,0.0,0.9289941001421981,0.9289941001421981
61,27342472_20200310_Feet_R_S_1,GL80,0.9271671915908446,1.1102230246251565e-16,0.0,0.9271671915908447,0.9271671915908447
62,27342472_20200310_Feet_R_S_2,GL80,0.9660805477172073,1.1102230246251565e-16,0.0,0.9660805477172072,0.9660805477172072
63,27342472_20200310_Feet_R_S_3,GL80,0.9760253676770518,1.1102230246251565e-16,0.0,0.976025367677052,0.976025367677052
64,28515479_20200629_Feet_L_S_0,GL80,0.9292742688232605,0.012154865988827823,0.02771070921933394,0.9220694844262337,0.9497801936455676
65,28515479_20200629_Feet_L_S_1,GL80,0.9250184226030932,0.000566282268732163,0.0020873441359425815,0.9248514350722178,0.9269387792081604
66,28515479_20200629_Feet_L_S_2,GL80,0.9387007078199602,0.003125239107711574,0.006597384927411465,0.9364575969446404,0.9430549818720518
67,28515479_20200629_Feet_L_S_3,GL80,0.8741952081380734,1.1102230246251565e-16,0.0,0.8741952081380733,0.8741952081380733
68,28515479_20200629_Feet_R_S_0,GL80,0.8634532265433488,1.1102230246251565e-16,0.0,0.8634532265433489,0.8634532265433489
69,28515479_20200629_Feet_R_S_1,GL80,0.8906420290395272,1.1102230246251565e-16,0.0,0.890642029039527,0.890642029039527
70,28515479_20200629_Feet_R_S_2,GL80,0.9074403175363749,2.220446049250313e-16,0.0,0.9074403175363751,0.9074403175363751
71,28515479_20200629_Feet_R_S_3,GL80,0.9185145692454134,0.00035942654343891657,0.0025673324531351183,0.918463222596351,0.9210305550494862
72,29478252_20200608_Feet_L_S_0,GL80,0.9040486745146308,0.0013274301306932547,0.005326180249222823,0.8990863814332561,0.904412561682479
73,29478252_20200608_Feet_L_S_1,GL80,0.8807692670053343,2.220446049250313e-16,0.0,0.8807692670053345,0.8807692670053345
74,29478252_20200608_Feet_L_S_2,GL80,0.914558404276571,4.440892098500626e-16,0.0,0.9145584042765705,0.9145584042765705
75,29478252_20200608_Feet_L_S_3,GL80,0.9494980087860638,0.0,0.0,0.9494980087860638,0.9494980087860638
76,29478252_20200608_Feet_R_S_0,GL80,0.8315076542526221,2.220446049250313e-16,0.0,0.8315076542526223,0.8315076542526223
77,29478252_20200608_Feet_R_S_1,GL80,0.7682958689687337,0.026905693451637614,0.18496784352632012,0.6673123282799127,0.8522801718062328
78,29478252_20200608_Feet_R_S_2,GL80,0.7193456751334453,0.04092671147668907,0.10973798610926266,0.6727506970674159,0.7824886831766785
79,29478252_20200608_Feet_R_S_3,GL80,0.9329997996958929,0.01791274224534781,0.09366950314665068,0.8429829301116686,0.9366524332583193
80,30804199_20200406_Feet_L_S_0,GL80,0.983729887580279,0.002119618467341192,0.01081663269659594,0.9733459201915469,0.9841625528881428
81,30804199_20200406_Feet_L_S_1,GL80,0.9588245231437328,0.0,0.0,0.9588245231437328,0.9588245231437328
82,30804199_20200406_Feet_L_S_2,GL80,0.9268051690838557,3.3306690738754696e-16,0.0,0.926805169083856,0.926805169083856
83,30804199_20200406_Feet_L_S_3,GL80,0.9642712353408922,3.3306690738754696e-16,0.0,0.9642712353408925,0.9642712353408925
84,30804199_20200406_Feet_R_S_0,GL80,0.8682796304461532,3.3306690738754696e-16,0.0,0.8682796304461529,0.8682796304461529
85,30804199_20200406_Feet_R_S_1,GL80,0.8824341456007363,3.3306690738754696e-16,0.0,0.882434145600736,0.882434145600736
86,30804199_20200406_Feet_R_S_2,GL80,0.8656026526868013,0.005085426111794428,0.0103035932679032,0.8612751435142821,0.8715787367821853
87,30804199_20200406_Feet_R_S_3,GL80,0.9281393795167174,0.0080026916757534,0.023796045049763404,0.9074368203234232,0.9312328653731866
88,33960303_20200615_Feet_L_S_0,GL80,0.9248693946540207,3.3306690738754696e-16,0.0,0.9248693946540204,0.9248693946540204
89,33960303_20200615_Feet_L_S_1,GL80,0.9107230852965464,1.1102230246251565e-16,0.0,0.9107230852965463,0.9107230852965463
90,33960303_20200615_Feet_L_S_2,GL80,0.9164739870402537,0.006057929567801171,0.01864198956871077,0.9142369482920083,0.9328789378607191
91,33960303_20200615_Feet_L_S_3,GL80,0.8743950009299734,0.002488767514375656,0.01777691081696897,0.8740394627136338,0.8918163735306027
92,33960303_20200615_Feet_R_S_0,GL80,0.8782081247879693,3.3306690738754696e-16,0.0,0.878208124787969,0.878208124787969
93,33960303_20200615_Feet_R_S_1,GL80,0.8724007934249278,3.3306690738754696e-16,0.0,0.8724007934249275,0.8724007934249275
94,33960303_20200615_Feet_R_S_2,GL80,0.8978138649340792,0.001125799669606087,0.005745072381518335,0.8975840620388182,0.9033291344203366
95,33960303_20200615_Feet_R_S_3,GL80,0.9016127830352919,2.220446049250313e-16,0.0,0.9016127830352921,0.9016127830352921
96,99999988_20200320_Feet_L_S_0,GL80,0.9373895584712784,2.220446049250313e-16,0.0,0.9373895584712786,0.9373895584712786
97,99999988_20200320_Feet_L_S_1,GL80,0.9621415568738443,1.1102230246251565e-16,0.0,0.9621415568738444,0.9621415568738444
98,99999988_20200320_Feet_L_S_2,GL80,0.9071491462990657,3.3306690738754696e-16,0.0,0.9071491462990661,0.9071491462990661
99,99999988_20200320_Feet_L_S_3,GL80,0.880218098320551,2.220446049250313e-16,0.0,0.8802180983205508,0.8802180983205508
100,99999988_20200320_Feet_R_S_0,GL80,0.8758554115544834,0.0,0.0,0.8758554115544834,0.8758554115544834
101,99999988_20200320_Feet_R_S_1,GL80,0.8492519399657219,1.1102230246251565e-16,0.0,0.8492519399657218,0.8492519399657218
102,99999988_20200320_Feet_R_S_2,GL80,0.8597541788632251,0.0,0.0,0.8597541788632251,0.8597541788632251
103,99999988_20200320_Feet_R_S_3,GL80,0.8688857344217891,2.220446049250313e-16,0.0,0.8688857344217888,0.8688857344217888
104,99999990_20200320_Feet_L_S_0,GL80,0.8824102712453964,3.3306690738754696e-16,0.0,0.8824102712453967,0.8824102712453967
105,99999990_20200320_Feet_L_S_1,GL80,0.9607181213330575,0.001416113165086539,0.014232472815983832,0.9466279732452334,0.9608604460612172
106,99999990_20200320_Feet_L_S_2,GL80,0.9227488319026519,3.3306690738754696e-16,0.0,0.9227488319026516,0.9227488319026516
107,99999990_20200320_Feet_L_S_3,GL80,0.9387097626443,0.0071354924711526276,0.015063036413015762,0.9335883302638744,0.9486513666768902
