case_idx,filename,config,mean_J,std_J,range_J,min_J,max_J
544,12405045_2020023_Feet_R_S_2,GL78,0.9165250391749744,0.009722450155994895,0.05995495057276978,0.8792067305017387,0.9391616810745085
545,12405045_2020023_Feet_R_S_2,GL80,0.9171021165952147,0.02040542528542162,0.12441117429970028,0.8178187485059967,0.942229922805697
546,12405045_2020023_Feet_R_S_2,GL82,0.9243687307220142,0.006227177972980268,0.051206375439842855,0.8824986220556461,0.933704997495489
547,12405045_2020023_Feet_R_S_2,GL84,0.9222622275627168,0.003985871896468244,0.008136126938705579,0.9173805513994935,0.9255166783381991
548,12405045_2020023_Feet_R_S_2,GL86,0.9090587329397622,0.006226603548153209,0.015566508870383022,0.9059454311656855,0.9215119400360685
549,12405045_2020023_Feet_R_S_2,Med3,0.7729218108327823,0.006273611620933082,0.041935082130880263,0.7363329595004547,0.778268041631335
550,12405045_2020023_Feet_R_S_2,Med5,0.7845631743002732,0.0032191802730875256,0.014861648283844175,0.7741458290586102,0.7890074773424544
551,12405045_2020023_Feet_R_S_2,Med7,0.7989516480562534,0.008209907948475068,0.018716979034306136,0.785101083570867,0.8038180626051732
552,12405045_2020023_Feet_R_S_2,Med9,0.829772979409317,0.009379072326170999,0.052699173071970584,0.8101319617060949,0.8628311347780655
553,12405045_2020023_Feet_R_S_2,Med11,0.8541560133804316,0.008184604911087627,0.016372484646619778,0.8461334959035878,0.8625059805502076
554,12405045_2020023_Feet_R_S_2,Med13,0.8786020648395749,0.001460179491045388,0.010429853507467057,0.8683808084022573,0.8788106619097243
555,12405045_2020023_Feet_R_S_2,Med15,0.8428627502184716,0.0,0.0,0.8428627502184716,0.8428627502184716
556,12405045_2020023_Feet_R_S_2,Med17,0.7585032710915054,2.220446049250313e-16,0.0,0.7585032710915056,0.7585032710915056
557,12405045_2020023_Feet_R_S_2,Med19,0.7038783234738841,0.0,0.0,0.7038783234738841,0.7038783234738841
558,12405045_2020023_Feet_R_S_3,GL70,0.7569648078350103,0.034643451617251485,0.15937119352742668,0.6937305478592785,0.8531017413867051
559,12405045_2020023_Feet_R_S_3,GL72,0.7583892998376878,0.03508757492645251,0.18146711383836267,0.6716346275483425,0.8531017413867051
